sequence,part_index,timestamp,value,Torque,CycleTime,Temperature,Vibration,ScrapCount,Status
0,0,2026-08-27 15:23:56.517338+00:00,19.998229655837115,45.3438170611726,11.740003973439876,24.0399290278652,2.295818912030594,0,RUNNING
1,1,2026-08-27 15:23:56.617214+00:00,20.013536226288192,45.66381843630608,11.96186936688691,26.10277139282616,2.762006385578541,0,RUNNING
2,2,2026-08-27 15:23:56.713262+00:00,20.017341511483117,45.528051707704385,11.429815538657019,24.529750215421203,2.6903019930874197,0,RUNNING
3,3,2026-08-27 15:23:56.813382+00:00,19.996748862438107,45.67496751201982,11.980660955044787,27.44227610916471,2.5916711189330486,0,RUNNING
4,4,2026-08-27 15:23:56.912250+00:00,20.013310037737906,43.64896172443098,11.767752708217355,27.036063169619357,2.3955288170993003,0,RUNNING
5,5,2026-08-27 15:23:57.010434+00:00,20.015109378192015,44.73471120964081,11.601996749439635,28.76942381116258,2.677623687001398,0,RUNNING
6,6,2026-08-27 15:23:57.111111+00:00,20.0029869631841,45.53843466097721,11.976258672351833,29.56910562671328,2.9797536034172034,0,RUNNING
7,7,2026-08-27 15:23:57.214415+00:00,19.98711661125035,46.36822859396517,12.25216708898871,29.446221595120157,2.683201422249038,0,RUNNING
8,8,2026-08-27 15:23:57.311987+00:00,19.98006194096314,43.85052697557644,11.526238537513029,30.58062974160533,2.981319997370226,0,RUNNING
9,9,2026-08-27 15:23:57.409461+00:00,20.00435915695097,47.004985853481905,11.538969887208118,32.04494693831735,2.21783322712645,0,RUNNING
10,10,2026-08-27 15:23:57.510105+00:00,20.004629091808933,46.5278239538933,11.981896915292364,32.12035225085927,2.408645542011662,0,"FAULT: ToolWear(BoreDiameter), ToolWear(Torque)"
11,11,2026-08-27 15:23:57.611941+00:00,19.997461697715387,45.15356997800059,12.052162395468342,31.265961418553378,2.174546924503716,0,"FAULT: ToolWear(BoreDiameter), ToolWear(Torque)"
12,12,2026-08-27 15:23:57.712089+00:00,19.992119108942312,44.18873469706759,11.889157530118219,34.928970599546986,2.1448252685973626,0,"FAULT: ToolWear(BoreDiameter), ToolWear(Torque)"
13,13,2026-08-27 15:23:57.811107+00:00,20.00364259939555,44.32275261322577,11.763766541094975,34.076573279746995,3.0750455855918437,0,"FAULT: ToolWear(BoreDiameter), ToolWear(Torque)"
14,14,2026-08-27 15:23:57.911057+00:00,19.99178650272145,48.48109166764638,11.895189835831681,32.829345051849366,2.882167261953559,0,"FAULT: ToolWear(BoreDiameter), ToolWear(Torque)"
15,15,2026-08-27 15:23:58.012693+00:00,19.977742960010787,43.96786260528716,12.018947887491088,36.758970570251684,2.787842317947226,0,"FAULT: ToolWear(BoreDiameter), ToolWear(Torque)"
16,16,2026-08-27 15:23:58.116011+00:00,19.990317254622415,44.053486324679035,12.283633112174305,33.07745894205657,2.847456364134618,0,"FAULT: ToolWear(BoreDiameter), ToolWear(Torque)"
17,17,2026-08-27 15:23:58.216899+00:00,20.001810046015457,44.24081201657417,11.931596236323845,36.09193805091935,2.2263014107648065,0,"FAULT: ToolWear(BoreDiameter), ToolWear(Torque)"
18,18,2026-08-27 15:23:58.318430+00:00,20.002838861719198,45.811344466345126,12.040930563764505,35.64608477231692,2.6131980057569764,0,"FAULT: ToolWear(BoreDiameter), ToolWear(Torque)"
19,19,2026-08-27 15:23:58.418552+00:00,20.013584892525838,43.918823547189334,11.8700570123116,36.847395859369584,1.998356630603704,0,"FAULT: ToolWear(BoreDiameter), ToolWear(Torque)"
20,20,2026-08-27 15:23:58.518244+00:00,20.007408597610535,42.42948843647214,11.857354324536587,38.38880280232302,2.1438077028284073,0,"FAULT: ToolWear(BoreDiameter), ToolWear(Torque)"
